Id,HotelName,Provider,CityName,CountryCode,CheckInDate,CheckOutDate,IsGuaranteed,Price
874286,BATIQA Hotel Pekanbaru,KB,Pekanbaru,ID,10/29/2025,10/30/2025,TRUE,535972.5
874287,The House Tour Hotel - Downtown,JV,Bandung,ID,10/29/2025,10/31/2025,TRUE,1976330.51
874288,Swiss-Belinn Wahid Hasyim,FR,Jakarta,ID,10/30/2025,10/31/2025,TRUE,2374790
874289,Novotel Lampung,JV,Bandar Lampung,ID,11/4/2025,11/5/2025,FALSE,2469098.78
874290,1O1 URBAN Jakarta Thamrin,JV,Jakarta,ID,10/29/2025,10/30/2025,TRUE,649548.9
874291,Aria Gajayana Hotel Malang,DIDA,Malang,ID,11/5/2025,11/8/2025,FALSE,2062590
874292,Harris Hotel & Conventions Ciumbuleuit Bandung,KB,Bandung,ID,10/29/2025,10/31/2025,TRUE,2339337
874293,Swiss-Belcourt Bogor,JV,Bogor,ID,10/30/2025,11/1/2025,TRUE,2138422.29
874294,Gaia Cosmo Hotel Yogyakarta,KB,Yogyakarta,ID,10/29/2025,10/30/2025,TRUE,730620
874295,Malyabhara Hotel,JV,Yogyakarta,ID,10/30/2025,10/31/2025,TRUE,706447.17
874296,Swiss-Belinn Malang,JV,Malang,ID,11/5/2025,11/8/2025,FALSE,12927713.28
874297,Hotel Santika Bogor,KB,Bogor,ID,10/31/2025,11/1/2025,TRUE,1116302.08
874298,Grand Jatra Hotel Balikpapan,JV,Balikpapan,ID,10/30/2025,10/31/2025,TRUE,1031759.28
874299,Gaia Cosmo Hotel Yogyakarta,JV,Yogyakarta,ID,11/7/2025,11/9/2025,TRUE,1600723.2
874300,Sindoro Hotel Cilacap by Conary,JV,Cilacap,ID,10/29/2025,10/30/2025,TRUE,544072.67
874301,Swiss-Belhotel Solo,JV,Solo City,ID,11/5/2025,11/6/2025,FALSE,965632
874302,HARRIS Hotel & Suites Nagoya Batam,JV,Batam,ID,10/29/2025,11/1/2025,TRUE,3561031.57
874303,Genio Hotel Manado,FR,Manado,ID,12/27/2025,1/5/2026,FALSE,2814337
